img,Popularity ranking,Artist,Artist Link,Fans tracking,Tour dates,
,1,Coldplay,Coldplay,"3,206,264",0 concerts,
,2,Rihanna,Rihanna,"3,103,427",0 concerts,
,5,U2,U2,"2,766,527",0 concerts,
,7,Adele,Adele,"2,545,097",0 concerts,
,9,Kanye West,Kanye West,"2,468,668",0 concerts,
,10,Beyoncé,Beyoncé,"2,358,784",0 concerts,
,16,Chris Brown,Chris Brown,"2,102,915",0 concerts,
,17,Justin Bieber,Justin Bieber,"2,094,909",0 concerts,
,18,The Weeknd,The Weeknd,"2,091,042",0 concerts,
,23,Taylor Swift,Taylor Swift,"1,989,285",0 concerts,
,28,Radiohead,Radiohead,"1,864,173",0 concerts,
,29,Usher,Usher,"1,838,346",0 concerts,
,32,Ellie Goulding,Ellie Goulding,"1,731,033",0 concerts,
,35,Green Day,Green Day,"1,614,612",0 concerts,
,51,The Black Keys,The Black Keys,"1,366,338",0 concerts,
,53,Britney Spears,Britney Spears,"1,350,490",0 concerts,
,54,J. Cole,J. Cole,"1,346,055",0 concerts,
,56,Miley Cyrus,Miley Cyrus,"1,344,775",0 concerts,
,57,Paramore,Paramore,"1,338,010",0 concerts,
,60,Avicii,Avicii,"1,313,348",0 concerts,
,63,The xx,The xx,"1,301,928",0 concerts,
,65,Foster the People,Foster the People,"1,297,376",0 concerts,
,66,Gorillaz,Gorillaz,"1,279,889",0 concerts,
,67,Shakira,Shakira,"1,271,004",0 concerts,
,69,Lorde,Lorde,"1,254,724",0 concerts,
,71,Guns N' Roses,Guns N' Roses,"1,246,750",0 concerts,
,72,Linkin Park,Linkin Park,"1,245,392",0 concerts,
,73,T.I.,T.I.,"1,245,306",0 concerts,
,74,Macklemore & Ryan Lewis,Macklemore & Ryan Lewis,"1,205,840",0 concerts,
,77,One Direction,One Direction,"1,187,771",0 concerts,
,79,Arcade Fire,Arcade Fire,"1,170,865",0 concerts,
,83,Pearl Jam,Pearl Jam,"1,152,025",0 concerts,
,84,Demi Lovato,Demi Lovato,"1,144,901",0 concerts,
,86,AC/DC,AC/DC,"1,138,841",0 concerts,
,92,Frank Ocean,Frank Ocean,"1,108,396",0 concerts,
,101,Dr. Dre,Dr. Dre,"1,059,438",0 concerts,
,102,B.o.B,B.o.B,"1,050,686",0 concerts,
,104,Daft Punk,Daft Punk,"1,042,720",0 concerts,
,105,50 Cent,50 Cent,"1,039,440",0 concerts,
,108,Ne-Yo,Ne-Yo,"1,024,238",0 concerts,
,111,Jennifer Lopez,Jennifer Lopez,"1,017,929",0 concerts,
,114,Of Monsters and Men,Of Monsters and Men,"999,583",0 concerts,
,116,The Fray,The Fray,"988,510",0 concerts,
,117,Madonna,Madonna,"984,778",0 concerts,
,118,Selena Gomez,Selena Gomez,"982,433",0 concerts,
,119,The Script,The Script,"976,751",0 concerts,
,122,Avril Lavigne,Avril Lavigne,"964,762",0 concerts,
,123,alt-J,alt-J,"960,689",0 concerts,
,126,Jay-Z,Jay-Z,"944,147",0 concerts,
,134,OutKast,OutKast,"918,162",0 concerts,
,136,Stevie Wonder,Stevie Wonder,"912,253",0 concerts,
,138,Akon,Akon,"902,923",0 concerts,
,141,M83,M83,"893,364",0 concerts,
,142,Fun.,Fun.,"891,713",0 concerts,
,146,Journey,Journey,"865,888",0 concerts,
,151,Bruce Springsteen,Bruce Springsteen,"840,069",0 concerts,
,154,Miguel,Miguel,"833,918",0 concerts,
,156,Jeremih,Jeremih,"825,396",0 concerts,
,160,Gotye,Gotye,"820,103",0 concerts,
,170,Modest Mouse,Modest Mouse,"798,347",0 concerts,
,172,Depeche Mode,Depeche Mode,"789,923",0 concerts,
,174,Mac Miller,Mac Miller,"783,809",0 concerts,
,180,M.I.A.,M.I.A.,"761,041",0 concerts,
,188,ScHoolboy Q,ScHoolboy Q,"734,123",0 concerts,
,198,will.i.am,will.i.am,"713,620",0 concerts,
,12,Katy Perry,Katy Perry,"2,297,076",1 concert,
,36,Pitbull,Pitbull,"1,605,460",1 concert,
,42,Jason Derulo,Jason Derulo,"1,522,861",1 concert,
,45,Alicia Keys,Alicia Keys,"1,443,316",1 concert,
,50,Sia,Sia,"1,372,748",1 concert,
,52,Skrillex,Skrillex,"1,353,156",1 concert,
,55,John Legend,John Legend,"1,345,313",1 concert,
,68,Kesha,Kesha,"1,256,530",1 concert,
,80,blink-182,blink-182,"1,169,684",1 concert,
,90,Trey Songz,Trey Songz,"1,115,466",1 concert,
,96,Jack Johnson,Jack Johnson,"1,089,543",1 concert,
,120,2 Chainz,2 Chainz,"972,971",1 concert,
,130,DJ Khaled,DJ Khaled,"933,693",1 concert,
,148,Ty Dolla $ign,Ty Dolla $ign,"856,346",1 concert,
,166,Lupe Fiasco,Lupe Fiasco,"813,806",1 concert,
,191,Meghan Trainor,Meghan Trainor,"724,228",1 concert,
,38,Arctic Monkeys,Arctic Monkeys,"1,576,866",10 concerts,
,8,Bruno Mars,Bruno Mars,"2,484,755",11 concerts,
,64,A$AP Rocky,A$AP Rocky,"1,301,683",11 concerts,
,176,Nas,Nas,"773,619",11 concerts,
,161,Shawn Mendes,Shawn Mendes,"819,905",112 concerts,
,76,Elton John,Elton John,"1,194,046",117 concerts,
,61,Snoop Dogg,Snoop Dogg,"1,304,672",12 concerts,
,186,Franz Ferdinand,Franz Ferdinand,"738,951",13 concerts,
,112,Kelly Clarkson,Kelly Clarkson,"1,016,381",14 concerts,
,167,Eagles,Eagles,"810,637",14 concerts,
,200,Clean Bandit,Clean Bandit,"710,114",14 concerts,
,4,Drake,Drake,"2,865,793",15 concerts,
,37,Black Eyed Peas,Black Eyed Peas,"1,593,281",15 concerts,
,41,The Rolling Stones,The Rolling Stones,"1,535,955",15 concerts,
,85,Jason Mraz,Jason Mraz,"1,140,874",15 concerts,
,99,Panic! At the Disco,Panic! At the Disco,"1,075,406",15 concerts,
,158,Billy Joel,Billy Joel,"823,333",15 concerts,
,26,Justin Timberlake,Justin Timberlake,"1,945,452",16 concerts,
,39,Foo Fighters,Foo Fighters,"1,555,167",16 concerts,
,125,Christina Aguilera,Christina Aguilera,"947,346",16 concerts,
,128,Two Door Cinema Club,Two Door Cinema Club,"943,180",16 concerts,
,169,The Smashing Pumpkins,The Smashing Pumpkins,"806,291",16 concerts,
,25,David Guetta,David Guetta,"1,962,057",17 concerts,
,150,Lady Antebellum,Lady Antebellum,"844,683",17 concerts,
,159,Tame Impala,Tame Impala,"821,128",17 concerts,
,189,Martin Garrix,Martin Garrix,"731,443",17 concerts,
,30,Wiz Khalifa,Wiz Khalifa,"1,830,827",18 concerts,
,87,The Cure,The Cure,"1,122,841",18 concerts,
,131,The Kooks,The Kooks,"932,084",18 concerts,
,157,T-Pain,T-Pain,"824,599",18 concerts,
,21,Nicki Minaj,Nicki Minaj,"2,007,002",19 concerts,
,107,Aerosmith,Aerosmith,"1,027,647",19 concerts,
,175,Tiësto,Tiësto,"782,196",19 concerts,
,197,Passenger,Passenger,"714,526",19 concerts,
,3,Eminem,Eminem,"2,950,442",2 concerts,
,6,Maroon 5,Maroon 5,"2,711,002",2 concerts,
,20,Imagine Dragons,Imagine Dragons,"2,008,966",2 concerts,
,24,The Killers,The Killers,"1,966,256",2 concerts,
,40,Flo Rida,Flo Rida,"1,539,949",2 concerts,
,44,OneRepublic,OneRepublic,"1,457,360",2 concerts,
,58,MGMT,MGMT,"1,327,167",2 concerts,
,59,Kid Cudi,Kid Cudi,"1,323,115",2 concerts,
,88,Pharrell Williams,Pharrell Williams,"1,122,282",2 concerts,
,135,Ludacris,Ludacris,"913,907",2 concerts,
,147,System of a Down,System of a Down,"858,865",2 concerts,
,168,G-Eazy,G-Eazy,"807,860",2 concerts,
,196,Carly Rae Jepsen,Carly Rae Jepsen,"717,798",2 concerts,
,22,Lady Gaga,Lady Gaga,"1,991,436",21 concerts,
,91,Bastille,Bastille,"1,114,179",21 concerts,
,155,Travis Scott,Travis Scott,"832,243",21 concerts,
,199,Slipknot,Slipknot,"711,589",21 concerts,
,81,Bon Iver,Bon Iver,"1,166,715",22 concerts,
,115,Bon Jovi,Bon Jovi,"994,577",22 concerts,
,162,Passion Pit,Passion Pit,"817,480",22 concerts,
,43,Queen,Queen,"1,486,511",23 concerts,
,192,Band of Horses,Band of Horses,"722,902",26 concerts,
,179,The Offspring,The Offspring,"763,885",27 concerts,
,187,Pixies,Pixies,"738,302",28 concerts,
,110,The Strokes,The Strokes,"1,020,230",3 concerts,
,178,Tove Lo,Tove Lo,"766,533",3 concerts,
