name,ratings
 Eminem,0.901761
 Tiffany Calver,0.8857064
 Drake,0.8854864
 Tory Lanez,0.8854864
 Maroon 5,0.838631
 Bruno Mars,0.771389
 Katy Perry,0.713371
 Dream Theater,0.713314
 Matt Simons,0.713314
 Snow Patrol,0.713314
 Sum 41,0.713314
 The Cure,0.713314
 The Smashing Pumpkins,0.713314
 Tool,0.713314
 Ed Sheeran,0.710336263
 self sabotage,0.706793
 James Bay,0.681982286
 Jhené Aiko,0.676552
 Cardi B,0.676333
 Lil Wayne,0.6751245
 Tinashe,0.674141
 Young Thug,0.674141
 lil pump,0.671462
 Post Malone,0.671462
 Robin Schulz,0.663904
 Calvin Harris,0.662349
 Armin van Buuren,0.6385
 Arctic Monkeys,0.632232
 Kendrick Lamar,0.632232
 Sam Smith,0.632232
 Twenty One Pilots,0.632232
 Nicki Minaj,0.630975
 Lil Xan,0.630254
 Imagine Dragons,0.629737
 Chromeo,0.629191
 Mumford & Sons,0.629191
 Lady Gaga,0.615879
 Ludacris,0.613096
 Paul Kalkbrenner,0.613096
 Jason Aldean,0.613042
 The Killers,0.613042
 Kryoman,0.612976
 David Guetta,0.611871333
 Lost Frequencies,0.611551
 Octave One,0.611551
 Kovacs,0.608735
 Marshmello,0.608735
 Dimitri Vegas & Like Mike,0.60848
 Don Diablo,0.60848
 W&W,0.60848
 Francesco Yates,0.607418
 Justin Timberlake,0.6059862
 Rico Davis,0.571106
 Curren$y,0.570425143
 Wiz Khalifa,0.5557461
 Juice WRLD,0.542540125
 Joeyak,0.541932
 DeWolff,0.541236
 Kacey Musgraves,0.5408845
 Pitbull,0.501122
 Future,0.499486
 Black Eyed Peas,0.496859
 Counting Crows,0.496767
 Sting,0.496517
 Bush,0.49649
 Lynyrd Skynyrd,0.49649
 Alanis Morissette,0.496488
 Kid Rock,0.496488
 The Avett Brothers,0.49513
 Ms. Lauryn Hill,0.495056
 Flo Rida,0.4883955
 Carly Rae Jepsen,0.484345
 Nas,0.484345
 Jason Derulo,0.475245
 Weezer,0.4552375
 OneRepublic,0.454531
 Social House,0.437958
 Tame Impala,0.432342
 Sia,0.426535
 Bazzi,0.422341
 Normani,0.422341
 Gorgon City,0.420106
 Ariana Grande,0.417784133
 Big Sean,0.41735
 GASHI,0.414279
 Shy Glizzy,0.414099
 Steve Aoki,0.407668
 HOWALD,0.407332
 Kesha,0.3919855
 Aphex Twin,0.3687475
 Pharrell Williams,0.351857
 Allen Stone,0.350866
 Train,0.350728323
 The Goo Goo Dolls,0.350317667
 Trey Songz,0.348546
 Jacquees,0.348154
 Playboi Carti,0.343534
 Enrique Iglesias,0.343520333
 Janelle Monáe,0.3323535
 Bebe Rexha,0.331867
 Khalid,0.3251345
 Anderson .Paak,0.3206395
 Pusha T,0.3195935
 Kelly Clarkson,0.3168564
 CHVRCHES,0.316618333
 Brynn Cartelli,0.3165228
 Kelsea Ballerini,0.316356
 Camilo VII,0.315592
 Danno Summer,0.315592
 immasoul,0.315592
 Kleinfinger,0.315592
 Marcelo Gamboa,0.315592
 Meca Meca,0.315592
 Tom & Collins,0.315592
 Alex Ferreira,0.315154
 Icarus,0.315154
 Lee Foss,0.315154
 Los Wálters,0.315154
 Oliver Tree,0.315154
 Shiba San,0.315154
 zimmer,0.315154
 LNG/SHT,0.314186
 The Chainsmokers,0.313443905
 RÜFÜS DU SOL,0.313058
 Blood Orange,0.3129855
 Jaden Smith,0.3129855
 YG,0.3129855
 Kid Cudi,0.3114425
 Zedd,0.311053
 Four Tet,0.310845
 Kaytranada,0.3107775
 Childish Gambino,0.3106895
 Solange,0.310598
 The 1975,0.310513
 Bad Bunny,0.3091375
 SG Lewis,0.309114
 J Balvin,0.3088815
 Unknown Mortal Orchestra,0.3088095
 BreakBot,0.308665
 Daya,0.308665
 Disclosure,0.308665
 Elsa y Elmar,0.308665
 métrika,0.308665
 Rebolledo,0.308665
 Rubytates,0.308665
 Slander,0.308665
 Two Feet,0.308665
 Billie Eilish,0.3085125
 Mac DeMarco,0.3084555
 BASSNECTAR,0.308046
 Dillon Francis,0.3079775
 Alex Clare,0.303136
 Jessie J,0.303119
 Tom Odell,0.303116
 Michael Kiwanuka,0.303049
 Tini Gessler,0.298494
 Daddy Long Legs,0.293629
 All Saints,0.290524
 DJ Snake,0.282509923
 Snoop Dogg,0.280632
 Nelly,0.279711667
 Diplo,0.274763
 Sam Feldt,0.266429
 Passenger,0.2635755
 Shawn Mendes,0.246073373
 Tove Lo,0.239152
 Chaka Khan,0.237679
 Third World,0.227425
 Skip Marley,0.226812
 Meghan Trainor,0.226765
 Julian Marley,0.226612
 Ky-mani Marley,0.226612
 Ziggy Marley,0.226612
 Ryland James,0.226566667
 Damian 'Jr Gong' Marley,0.226473
 Sean Paul,0.226473
 Stephen Marley,0.225856
 Clean Bandit,0.223842
 Ellen Allien,0.223842
 Blood Red Shoes,0.222897
 Within Temptation,0.222897
 White Lies,0.222724
 De Staat,0.216038
 Novastar,0.216038
 Alessia Cara,0.215974524
 Goldfish,0.199504
 Little Mix,0.169722902
 Martyn Joseph,0.162145
 Camila Cabello,0.124221
