Artist, headline, support
 Alanis Morissette,1,
 Alessia Cara,11,10
 Alex Clare,1,
 Alex Ferreira,1,
 All Saints,1,
 Allen Stone,,2
 Anderson .Paak,2,
 Aphex Twin,2,
 Arctic Monkeys,2,
 Ariana Grande,15,
 Armin van Buuren,2,
 Bad Bunny,2,
 BASSNECTAR,2,
 Bazzi,1,
 Bebe Rexha,1,
 Big Sean,1,
 Billie Eilish,2,
 Black Eyed Peas,1,
 Blood Orange,2,
 Blood Red Shoes,1,
 BreakBot,1,
 Bruno Mars,11,
 Brynn Cartelli,,5
 Bush,1,
 Calvin Harris,1,
 Camila Cabello,1,
 Camilo VII,1,
 Cardi B,1,
 Carly Rae Jepsen,1,
 Chaka Khan,1,
 Childish Gambino,2,
 Chromeo,1,
 CHVRCHES,3,
 Clean Bandit,1,
 Counting Crows,1,
 Curren$y,7,
 Daddy Long Legs,1,
 Damian 'Jr Gong' Marley,1,
 Danno Summer,1,
 David Guetta,12,
 Daya,1,
 De Staat,1,
 DeWolff,1,
 Dillon Francis,2,
 Dimitri Vegas & Like Mike,1,
 Diplo,3,
 Disclosure,1,
 DJ Snake,13,
 Don Diablo,1,
 Drake,5,
 Dream Theater,1,
 Ed Sheeran,19,
 Ellen Allien,1,
 Elsa y Elmar,1,
 Eminem,1,
 Enrique Iglesias,6,
 Flo Rida,2,
 Four Tet,2,
 Francesco Yates,,1
 Future,2,
 GASHI,1,
 Goldfish,1,
 Gorgon City,1,
 HOWALD,1,
 Icarus,1,
 Imagine Dragons,1,
 immasoul,1,
 J Balvin,2,
 Jacquees,,1
 Jaden Smith,2,
 James Bay,1,13
 Janelle Monáe,2,
 Jason Aldean,1,
 Jason Derulo,1,
 Jessie J,1,
 Jhené Aiko,1,
 Joeyak,1,
 Juice WRLD,7,1
 Julian Marley,1,
 Justin Timberlake,15,
 Kacey Musgraves,2,
 Katy Perry,1,
 Kaytranada,2,
 Kelly Clarkson,5,
 Kelsea Ballerini,,4
 Kendrick Lamar,2,
 Kesha,2,
 Khalid,2,
 Kid Cudi,2,
 Kid Rock,1,
 Kleinfinger,1,
 Kovacs,1,
 Kryoman,1,
 Ky-mani Marley,1,
 Lady Gaga,21,
 Lee Foss,1,
 lil pump,1,
 Lil Wayne,2,
 Lil Xan,,1
 Little Mix,41,
 LNG/SHT,1,
 Los Wálters,1,
 Lost Frequencies,1,
 Ludacris,1,
 Lynyrd Skynyrd,1,
 métrika,1,
 Mac DeMarco,2,
 Marcelo Gamboa,1,
 Maroon 5,2,
 Marshmello,1,
 Martyn Joseph,1,
 Matt Simons,1,
 Meca Meca,1,
 Meghan Trainor,1,
 Michael Kiwanuka,1,
 Ms. Lauryn Hill,1,
 Mumford & Sons,1,
 Nas,1,
 Nelly,3,
 Nicki Minaj,10,
 Normani,,1
 Novastar,1,
 Octave One,1,
 Oliver Tree,1,
 OneRepublic,2,
 Passenger,2,
 Paul Kalkbrenner,1,
 Pharrell Williams,1,
 Pitbull,1,
 Playboi Carti,3,
 Post Malone,1,
 Pusha T,2,
 RÜFÜS DU SOL,2,
 Rebolledo,1,
 Rico Davis,,1
 Robin Schulz,1,
 Rubytates,1,
 Ryland James,3,
 Sam Feldt,2,
 Sam Smith,2,
 Sean Paul,1,
 self sabotage,1,
 SG Lewis,1,
 Shawn Mendes,51,
 Shiba San,1,
 Shy Glizzy,1,
 Sia,1,
 Skip Marley,1,
 Slander,1,
 Snoop Dogg,2,
 Snow Patrol,1,
 Social House,,1
 Solange,2,
 Stephen Marley,1,
 Steve Aoki,1,
 Sting,1,
 Sum 41,1,
 Tame Impala,3,
 The 1975,2,
 The Avett Brothers,1,
 The Chainsmokers,21,
 The Cure,1,
 The Goo Goo Dolls,12,
 The Killers,1,
 The Smashing Pumpkins,1,
 Third World,1,
 Tiffany Calver,,5
 Tinashe,1,
 Tini Gessler,1,
 Tom & Collins,1,
 Tom Odell,1,
 Tool,1,
 Tory Lanez,,5
 Tove Lo,1,
 Train,31,
 Trey Songz,1,
 Twenty One Pilots,2,
 Two Feet,1,
 Unknown Mortal Orchestra,2,
 W&W,1,
 Weezer,2,
 White Lies,1,
 Within Temptation,1,
 Wiz Khalifa,10,
 YG,2,
 Young Thug,1,
 Zedd,2,
 Ziggy Marley,1,
 zimmer,1,
