Venue,Pcount,
 American Airlines Center,12,
 Antwerps Sportpaleis,12,
 Appalachian State University,2,
 AT&T Stadium,13,
 BB&T Arena,8,
 Bleilochtalsperre,4,
 Brockwell Park,3,
 Camarote Salvador,12,
 Cape Town Ostrich Ranch,14,
 Capital One Arena,12,
" Encore Beach Club, Wynn Las Vegas",19,
" Event Center Arena, SJSU",4,
 Fair Grounds Race Course,1,
 First Direct Arena,2,
 Fort Lauderdale Beach Park,2,
 Foxwoods Resort Casino Grand Theater,1,
 Hipódromo de San Isidro,8,
 Intrust Bank Arena,2,
 Kallang National Stadium,14,
 KeyBank Center,12,
 Klipsch Amphitheater at Bayfront Park,8,
 Lanxess Arena,12,
 Laroc Club,12,
 Manchester Arena,27,
 Mercedes-Benz Arena,12,
 Mercedes-Benz Superdome,1,
 Naeba Ski Resort,1,
 Napa Valley Expo,2,
 Nasrec Expo Centre,14,
 Northern Quest Casino & Resort,12,
 Oslo Spektrum,8,
 P12 Parador Internacional,12,
 Parc del Fòrum,4,
" Park Theater, Park MGM Las Vegas",32,
 Porsche Arena,12,
 Rajamangala National Stadium,12,
 Randall's Island Park,1,
 Rio Carnaval Dos Sonhos,8,
 Rodeo Houston,1,
 Royal Arena,12,
 Santa Barbara Bowl,9,
 ShoWare Center,2,
 Songdo Moonlight Festival Park,12,
 Steele Indian School Park,7,
 Sunlight Supply Amphitheater,12,
 Talking Stick Resort Arena,12,
 Tauron Arena Krakow,6,
 TD Garden,12,
 The Anthem,1,
 The Fillmore Silver Spring,4,
 The Fillmore Silver Spring Presented By Cricket Wireless,12,
 The SSE Hydro,12,
 Times Union Center,12,
 T-Mobile Arena,4,
 Unknown venue,28,
 Wells Fargo Center,2,
 Westpac Stadium,1,
 White River Amphitheatre,12,
 Wiener Stadthalle - Halle D,12,
" XS Nightclub, the Wynn",22,
 Ziggo Dome,29,
